id,age,income,loan_amount,loan_term,credit_score,employment_status,loan_purpose,existing_loans,income_variability,loan_status
57,33,13287,12906,48,548,Unemployed,Car,2,Low,0
58,34,13223,18303,24,720,Employed,Business,3,Low,0
59,31,6779,6266,36,486,Self-Employed,Education,3,High,1
60,48,10187,38246,60,548,Self-Employed,Home,1,High,1
61,62,4972,8977,48,426,Self-Employed,Education,1,Low,0
62,52,9756,11068,12,387,Employed,Education,2,High,1
63,55,5948,49504,60,344,Unemployed,Car,0,High,1
64,51,8544,36227,12,545,Unemployed,Business,3,High,0
65,37,4045,17740,36,710,Employed,Car,3,High,1
66,29,14128,27797,48,517,Self-Employed,Business,3,High,0
67,30,13140,12791,12,726,Unemployed,Car,0,High,1
68,28,3627,5485,60,314,Employed,Business,1,High,1
69,41,3488,35695,60,634,Unemployed,Home,2,High,0
70,33,14337,42441,24,836,Self-Employed,Education,1,High,1
71,25,14390,5337,12,791,Self-Employed,Education,3,High,1
72,26,14655,30436,48,591,Unemployed,Car,3,Low,1
73,50,11127,20092,48,416,Employed,Home,0,Low,1
74,51,5563,39771,24,768,Employed,Home,0,Low,1
75,37,13821,6471,60,686,Unemployed,Home,0,Low,1
76,31,11906,49388,12,492,Self-Employed,Car,2,Low,1
77,40,3802,32696,60,400,Employed,Business,4,Low,1
78,29,11612,11489,12,369,Unemployed,Home,4,Low,1
79,22,5591,12856,12,473,Unemployed,Home,2,Low,0
80,57,5520,33611,12,743,Self-Employed,Business,2,High,0
81,21,7896,14365,60,732,Self-Employed,Business,2,Low,1
82,24,9643,39373,60,514,Employed,Home,1,Low,0
83,56,9041,10664,60,836,Employed,Car,2,Low,0
84,45,5311,28323,36,618,Employed,Car,1,Low,1
85,23,4305,31455,60,585,Self-Employed,Education,0,Low,1
86,29,9875,10379,24,524,Unemployed,Education,3,High,1
87,42,12187,49353,36,648,Employed,Education,4,Low,1
88,43,3967,7124,12,687,Employed,Car,3,Low,1
89,32,10009,36536,48,640,Employed,Education,4,Low,0
90,30,13906,9991,36,803,Unemployed,Home,0,High,0
91,54,14227,11794,36,370,Employed,Car,4,Low,1
92,63,14677,34218,12,428,Employed,Car,0,Low,1
93,30,7462,36113,60,743,Self-Employed,Education,3,Low,1
94,50,8897,41074,60,589,Self-Employed,Home,1,Low,0
95,42,5458,32977,36,686,Self-Employed,Home,4,Low,1
96,26,10585,33359,60,317,Unemployed,Car,2,Low,1
97,22,6778,23043,36,375,Self-Employed,Car,1,Low,0
98,50,5730,27523,48,664,Employed,Education,1,Low,1
99,22,6365,14070,48,579,Employed,Home,0,High,0
100,52,14436,12199,12,579,Unemployed,Car,3,Low,0
101,62,9547,23703,24,742,Unemployed,Business,2,Low,1
102,36,2027,24267,24,628,Employed,Home,3,Low,0
103,32,5491,19133,60,835,Unemployed,Business,3,High,0
104,21,8423,33571,24,807,Employed,Car,1,Low,0
105,28,7301,31991,48,749,Self-Employed,Education,2,Low,1
106,33,14453,16579,12,674,Employed,Car,4,Low,0
107,35,8160,38355,48,595,Unemployed,Car,2,Low,1
108,64,3173,24003,36,775,Self-Employed,Business,0,High,1
109,28,2338,26871,60,692,Employed,Car,1,Low,1
110,30,11260,11223,60,408,Unemployed,Education,2,Low,1
111,25,2841,19197,24,658,Unemployed,Business,0,High,0
112,39,14476,14387,36,588,Self-Employed,Business,4,Low,1
113,58,14938,42121,24,717,Employed,Education,3,Low,0
114,31,2293,31902,24,617,Employed,Business,3,High,1
115,63,12049,19839,24,640,Unemployed,Education,0,Low,1
116,40,11514,40373,36,616,Self-Employed,Business,1,Low,1
117,40,8558,40306,24,648,Employed,Car,3,Low,1
118,41,3647,18896,60,326,Self-Employed,Car,1,High,0
119,38,6898,46525,24,700,Unemployed,Home,1,Low,0
120,30,13812,21198,36,615,Employed,Business,3,Low,0
121,54,6526,39524,36,667,Unemployed,Education,4,Low,1
122,46,7614,33651,48,642,Employed,Education,2,Low,1
123,50,13286,37636,24,664,Unemployed,Business,3,High,0
124,29,13683,39128,36,372,Employed,Car,2,Low,0
125,51,13687,32144,24,421,Self-Employed,Education,1,High,1
126,62,14774,23757,12,485,Employed,Home,4,Low,0
127,24,5801,38963,60,618,Employed,Education,1,High,1
128,26,10280,23515,60,841,Unemployed,Education,4,Low,1
129,34,9376,45777,24,652,Employed,Education,0,Low,0
130,24,14558,27027,60,654,Employed,Home,4,Low,0
131,46,12148,18792,60,405,Employed,Home,4,Low,0
132,59,2899,20777,12,717,Unemployed,Education,1,Low,1
133,37,5477,24794,60,504,Employed,Home,3,Low,0
134,39,3744,37544,60,681,Self-Employed,Car,3,Low,1
135,26,14565,23751,36,596,Self-Employed,Education,2,High,1
136,49,8096,36023,60,578,Unemployed,Home,0,Low,1
137,31,4253,24727,24,488,Employed,Home,4,Low,1
138,36,13853,28665,60,842,Unemployed,Home,2,Low,0
139,50,13152,36126,24,749,Employed,Car,4,Low,1
140,45,3633,24481,60,557,Unemployed,Home,4,High,1
141,60,9001,30836,24,752,Employed,Business,0,Low,0
142,31,9020,39101,60,377,Employed,Business,0,Low,1
143,27,11053,28549,24,322,Unemployed,Car,2,Low,0
144,46,10149,8336,60,802,Unemployed,Car,3,High,1
145,42,6701,13157,12,484,Unemployed,Home,4,Low,0
146,45,8735,41155,36,846,Employed,Car,1,High,0
147,39,3013,42481,36,812,Unemployed,Home,2,Low,1
148,51,5299,36567,36,348,Employed,Home,4,Low,0
149,46,3506,42869,36,467,Self-Employed,Home,0,Low,0
150,62,13397,7431,12,320,Self-Employed,Business,0,Low,1
151,61,6803,38784,12,691,Employed,Business,0,Low,0
152,56,2977,22025,60,404,Employed,Education,0,Low,1
153,43,13653,25446,12,589,Unemployed,Car,3,Low,0
154,33,3817,13507,36,725,Employed,Business,3,Low,1
155,45,13876,38208,48,528,Employed,Car,4,High,0
156,22,14250,22522,60,480,Self-Employed,Home,4,High,1
157,22,12826,30490,24,651,Unemployed,Car,2,High,0
158,36,6901,43011,36,524,Unemployed,Home,0,High,0
159,29,13858,40071,36,533,Employed,Car,0,High,1
160,48,11140,35413,36,565,Unemployed,Business,1,High,1
161,33,8798,19040,12,613,Self-Employed,Car,1,Low,1
162,55,2473,43718,24,798,Self-Employed,Home,0,High,0
163,61,2567,12046,60,517,Self-Employed,Business,1,Low,0
164,33,13624,44374,36,510,Employed,Home,1,High,0
165,51,14215,41189,24,398,Employed,Home,0,Low,1
166,41,9966,23462,48,687,Self-Employed,Business,3,Low,1
167,52,4258,43871,12,644,Self-Employed,Car,3,High,1
168,54,10120,25534,36,552,Unemployed,Education,4,Low,0
169,28,13336,39968,24,823,Unemployed,Education,3,Low,1
170,61,6310,25935,24,417,Unemployed,Car,0,Low,1
171,22,3982,45995,36,508,Unemployed,Car,1,Low,0
172,58,3096,14009,24,708,Self-Employed,Business,0,Low,0
173,52,8610,6946,24,780,Unemployed,Home,2,Low,1
174,60,5570,41724,60,628,Self-Employed,Business,1,Low,1
175,48,8497,45483,12,482,Self-Employed,Business,0,Low,1
176,57,13582,8325,60,716,Employed,Home,4,Low,0
177,61,12864,13699,12,382,Unemployed,Home,4,Low,0
178,21,5646,8745,12,553,Self-Employed,Car,1,Low,1
179,61,4419,49837,60,304,Employed,Home,3,Low,1
180,30,6279,35794,36,602,Employed,Home,4,Low,1
181,24,13540,29544,24,835,Self-Employed,Car,2,Low,1
182,55,2673,26198,48,727,Self-Employed,Business,1,Low,1
183,30,4802,18489,60,526,Unemployed,Education,2,High,0
184,31,9312,27474,60,689,Unemployed,Home,1,Low,0
185,34,4369,23420,36,311,Self-Employed,Business,3,Low,0
186,58,6530,7677,24,636,Self-Employed,Business,0,Low,0
187,32,3066,39512,60,428,Employed,Education,1,Low,1
188,37,7432,16175,48,310,Employed,Home,0,Low,0
189,36,10073,48318,24,789,Employed,Business,1,Low,1
190,55,2687,47191,60,571,Employed,Business,3,Low,0
191,22,2068,6177,60,656,Employed,Home,2,High,0
192,31,12295,5761,12,391,Unemployed,Home,0,High,0
193,61,8774,42546,12,308,Employed,Business,2,Low,0
194,23,2419,11458,60,422,Self-Employed,Car,1,Low,0
195,49,14190,25110,36,580,Unemployed,Car,1,Low,0
196,38,12789,47503,12,757,Employed,Business,3,Low,1
197,40,14530,33253,60,750,Employed,Home,1,Low,0
198,34,8891,23317,24,706,Employed,Home,3,Low,1
199,54,7593,33433,48,355,Self-Employed,Car,1,Low,1
200,51,12316,12179,12,678,Employed,Car,2,Low,1
201,60,8104,19849,60,801,Self-Employed,Education,1,Low,0
202,62,5892,9444,12,322,Self-Employed,Car,0,Low,0
203,38,2439,7964,24,544,Employed,Home,4,High,1
204,50,11478,46990,36,717,Employed,Car,0,High,1
205,45,3208,17811,60,530,Unemployed,Business,0,Low,1
206,39,11270,15067,24,509,Unemployed,Education,3,Low,0
207,28,4563,44992,48,461,Unemployed,Education,1,Low,0
208,48,9466,15472,60,676,Self-Employed,Home,2,High,1
209,28,13815,20126,48,469,Employed,Business,1,High,1
210,51,3253,8101,36,638,Unemployed,Car,4,Low,1
211,23,13549,31990,60,773,Self-Employed,Education,1,Low,0
212,23,5209,41665,60,526,Unemployed,Education,4,Low,0
213,64,5549,8678,24,662,Unemployed,Business,4,Low,1
214,42,2614,39611,12,778,Employed,Education,0,High,1
215,37,5078,35729,60,774,Employed,Business,4,Low,1
216,56,12915,34035,36,494,Self-Employed,Home,4,Low,0
217,37,5490,20958,60,311,Employed,Education,2,Low,0
218,34,5543,29250,60,794,Unemployed,Car,3,Low,0
219,29,10102,12083,60,361,Self-Employed,Business,1,Low,1
220,50,14707,26756,60,828,Self-Employed,Home,2,Low,1
221,41,3900,6466,36,570,Self-Employed,Car,3,Low,0
222,32,14563,5339,24,837,Self-Employed,Business,0,High,1
223,57,7680,49547,12,364,Employed,Car,2,Low,1
224,52,8751,26103,36,779,Unemployed,Education,2,Low,1
225,31,7862,22088,36,789,Employed,Home,0,High,1
226,40,3712,8724,48,367,Employed,Business,4,High,0
227,55,4329,45957,12,661,Self-Employed,Business,0,Low,1
228,31,13811,26643,24,318,Employed,Home,1,High,1
229,28,3194,31044,24,844,Employed,Car,0,Low,0
230,24,8781,15334,48,390,Unemployed,Home,2,High,1
231,47,10162,38320,48,537,Self-Employed,Home,0,Low,0
232,64,6906,41259,36,761,Employed,Home,1,Low,0
233,60,3378,5789,24,323,Self-Employed,Home,4,High,1
234,58,11504,38941,24,526,Unemployed,Education,4,Low,0
235,50,13107,5552,24,680,Employed,Business,3,High,1
236,64,2749,24806,36,305,Unemployed,Car,3,Low,1
237,47,7292,41979,24,656,Unemployed,Car,1,Low,1
238,41,2300,13823,60,456,Self-Employed,Home,3,High,0
239,40,6695,36980,48,500,Self-Employed,Home,4,Low,1
240,24,14174,5860,48,524,Self-Employed,Car,4,Low,1
241,31,6624,5290,48,762,Employed,Car,3,High,0
242,33,5837,47417,48,556,Self-Employed,Education,0,Low,1
243,29,2277,19344,60,730,Employed,Home,4,Low,0
244,24,14950,10870,12,724,Unemployed,Car,3,Low,0
245,32,12750,38397,24,706,Self-Employed,Business,3,Low,0
246,29,5917,44775,48,404,Unemployed,Education,1,Low,1
247,33,9307,21186,24,551,Self-Employed,Education,1,High,0
248,46,4161,43711,24,398,Unemployed,Home,4,Low,0
249,58,14867,37265,60,477,Employed,Education,2,High,0
250,62,3389,26016,24,564,Unemployed,Education,3,High,1
251,33,10882,9080,48,431,Employed,Business,0,Low,1
252,59,6732,17972,24,498,Self-Employed,Education,2,Low,1
253,48,5468,6760,60,356,Self-Employed,Business,3,Low,1
254,39,12040,16274,48,708,Self-Employed,Education,2,Low,1
255,44,8141,42476,60,561,Employed,Education,3,Low,1
256,39,7969,28304,36,417,Self-Employed,Home,3,Low,1
257,33,5816,17166,12,784,Employed,Home,2,Low,1
258,33,11131,8398,24,620,Employed,Home,1,Low,1
259,48,7037,35625,24,607,Unemployed,Home,3,High,1
260,22,13374,15515,24,789,Self-Employed,Car,4,High,1
261,30,7994,19705,36,620,Unemployed,Home,2,Low,0
262,42,13501,41329,12,655,Employed,Home,1,High,1
263,33,12242,15607,60,819,Unemployed,Home,0,High,1
264,29,11938,35006,36,825,Self-Employed,Education,3,High,1
265,53,4451,18018,36,323,Employed,Education,3,Low,1
266,34,2024,14816,48,491,Unemployed,Education,4,Low,0
267,40,7962,25494,36,648,Self-Employed,Home,1,Low,1
268,35,4556,26237,36,324,Self-Employed,Business,3,Low,1
269,52,9632,11831,24,689,Unemployed,Car,1,Low,1
270,53,2060,45963,48,489,Employed,Business,3,High,1
271,37,9675,35541,60,327,Self-Employed,Business,0,Low,0
272,44,2122,8447,12,840,Employed,Business,4,Low,0
273,50,7616,10584,60,790,Self-Employed,Business,0,Low,0
274,33,12294,32156,48,787,Employed,Car,0,Low,1
275,36,3186,41559,24,471,Employed,Business,2,Low,1
276,22,7158,26465,12,337,Self-Employed,Home,0,Low,1
277,37,9864,47120,60,598,Unemployed,Business,4,Low,1
278,52,11922,22217,12,565,Unemployed,Car,4,High,0
279,63,14833,15190,12,326,Unemployed,Car,3,Low,1
280,28,6089,10335,12,751,Employed,Business,0,Low,1
281,23,4472,11260,36,768,Unemployed,Home,1,High,0
282,32,13157,30778,48,384,Unemployed,Business,2,Low,1
283,40,12469,20605,48,312,Self-Employed,Education,2,Low,0
284,36,14279,23559,24,558,Employed,Car,2,High,1
285,34,9450,47341,60,399,Unemployed,Business,4,Low,1
286,36,4964,25557,24,560,Self-Employed,Education,4,Low,0
287,63,10104,40556,60,577,Employed,Home,3,Low,1
288,53,3310,48781,12,365,Self-Employed,Education,0,Low,1
289,50,10346,29917,60,677,Unemployed,Car,4,Low,1
290,32,4212,30937,60,816,Employed,Education,2,High,0
291,35,13445,36538,12,416,Employed,Education,4,Low,0
292,38,11454,11721,24,798,Unemployed,Education,0,Low,1
293,48,8792,25575,60,504,Self-Employed,Home,4,High,1
294,43,11554,12312,24,379,Employed,Home,0,High,1
295,34,11129,9616,24,317,Employed,Home,3,Low,1
296,50,10703,38763,48,357,Employed,Home,4,Low,0
297,53,10378,38124,12,411,Unemployed,Business,0,Low,1
298,35,3845,29761,12,614,Self-Employed,Education,0,High,0
299,27,9660,6693,36,461,Unemployed,Car,1,Low,0
300,35,3702,7590,24,623,Employed,Education,3,Low,1
301,62,2390,35870,36,630,Self-Employed,Business,4,Low,0
302,58,2654,14534,12,801,Self-Employed,Education,1,Low,1
303,64,7835,12921,12,356,Unemployed,Education,4,Low,1
304,31,6271,6691,36,464,Unemployed,Car,2,High,0
305,49,13013,47042,12,465,Employed,Car,2,Low,0
306,51,10955,7904,12,596,Unemployed,Car,0,High,1
307,45,5400,49155,48,303,Unemployed,Education,1,High,1
308,44,7319,49377,60,709,Unemployed,Business,0,Low,0
309,39,14998,44705,48,405,Unemployed,Home,0,Low,1
310,22,13459,35956,60,465,Unemployed,Home,0,High,1
311,42,8732,23764,48,553,Employed,Education,2,High,1
312,40,8674,13208,48,427,Self-Employed,Home,0,High,1
313,53,3085,20783,24,785,Unemployed,Home,0,High,0
314,28,7446,13515,36,375,Self-Employed,Education,0,High,1
315,45,12121,7070,48,520,Self-Employed,Education,0,Low,1
316,29,6376,22314,24,733,Unemployed,Business,1,High,1
317,54,3963,18771,48,836,Unemployed,Home,4,Low,1
318,43,11977,36240,36,738,Self-Employed,Education,1,Low,1
319,25,12466,22828,24,734,Employed,Home,3,Low,0
320,45,12878,49996,60,825,Self-Employed,Car,1,High,1
321,28,7177,29978,36,432,Employed,Car,3,Low,1
322,36,13160,25936,12,740,Self-Employed,Business,2,Low,1
323,35,6572,31082,24,833,Unemployed,Education,4,Low,0
324,21,9543,22905,12,690,Employed,Home,0,Low,0
325,42,10907,8098,24,543,Self-Employed,Car,3,Low,1
326,23,2242,32020,60,445,Employed,Education,2,Low,1
327,58,8510,23952,24,714,Unemployed,Car,4,Low,0
328,34,5915,15985,48,726,Employed,Car,3,High,0
329,56,11715,13283,12,511,Unemployed,Education,2,Low,0
330,38,2837,42708,12,548,Unemployed,Car,0,Low,0
331,61,5323,9762,24,334,Employed,Education,2,Low,1
332,38,4953,39521,48,552,Unemployed,Business,2,High,1
333,23,11537,10054,48,585,Unemployed,Education,0,Low,1
334,30,12615,18276,24,509,Unemployed,Car,3,Low,1
335,59,12220,10781,36,409,Employed,Car,2,Low,1
336,21,3432,21471,60,629,Unemployed,Home,0,Low,1
337,47,8854,23025,24,441,Self-Employed,Business,3,Low,1
338,47,9655,40730,48,386,Unemployed,Car,0,High,0
339,31,10431,10413,60,439,Self-Employed,Business,1,Low,0
340,25,10330,12420,24,631,Employed,Home,3,Low,1
341,27,13385,46510,60,325,Self-Employed,Business,1,Low,1
342,39,10611,48406,36,661,Unemployed,Education,2,High,1
343,49,2303,44678,48,659,Unemployed,Business,2,Low,1
344,35,4162,31527,36,514,Unemployed,Car,2,High,1
345,55,8486,48250,36,376,Unemployed,Car,3,Low,1
346,57,12218,17029,48,394,Unemployed,Education,4,Low,0
347,32,6102,46583,36,517,Unemployed,Car,3,Low,1
348,50,8874,41525,24,667,Employed,Home,3,Low,1
349,40,12418,42564,24,351,Unemployed,Car,4,Low,0
350,57,3168,41060,60,573,Self-Employed,Home,3,Low,1
351,23,2415,8832,24,743,Self-Employed,Business,1,Low,0
352,29,12905,7611,24,332,Self-Employed,Business,4,High,0
353,61,7243,13353,60,715,Employed,Car,4,Low,0
354,59,2149,48042,12,724,Self-Employed,Car,1,Low,1
355,46,12636,32589,48,306,Self-Employed,Education,4,Low,1
356,22,8524,45996,24,794,Self-Employed,Business,4,Low,1
357,43,7899,30421,60,653,Employed,Home,1,Low,0
358,43,2838,16068,36,498,Self-Employed,Education,0,Low,1
359,41,8144,8346,36,734,Self-Employed,Education,0,High,1
360,36,11888,41822,24,435,Employed,Business,0,High,0
361,29,14531,9200,48,587,Unemployed,Education,1,Low,1
362,33,12102,13527,60,707,Self-Employed,Home,2,Low,1
363,48,11613,15535,60,635,Unemployed,Education,3,Low,1
364,47,9466,22944,60,301,Self-Employed,Home,4,Low,1
365,37,13193,45290,60,484,Employed,Home,1,Low,0
366,58,3320,9164,60,737,Unemployed,Car,3,Low,1
367,56,14227,35022,48,321,Employed,Business,1,High,1
368,21,3523,17438,60,511,Unemployed,Business,4,Low,1
369,38,7234,28104,48,776,Employed,Business,2,Low,1
370,29,14070,9852,48,765,Unemployed,Business,1,Low,1
371,33,8144,11713,48,533,Unemployed,Home,3,Low,1
372,60,2552,8183,36,471,Unemployed,Business,3,High,0
373,35,5756,36354,12,817,Self-Employed,Business,4,Low,1
374,63,5671,13032,24,543,Unemployed,Home,0,Low,1
375,64,2481,19275,36,720,Unemployed,Car,4,Low,0
376,24,2599,23793,12,678,Self-Employed,Business,4,Low,1
377,53,9677,42066,36,772,Self-Employed,Education,0,High,1
378,44,11356,23918,48,640,Employed,Car,2,Low,0
379,56,14870,10599,48,422,Employed,Car,1,Low,1
380,61,14424,37771,60,733,Self-Employed,Car,3,Low,0
381,30,11195,18440,48,487,Self-Employed,Business,1,Low,1
382,56,3982,16289,36,313,Self-Employed,Home,1,Low,1
383,40,3634,48808,24,369,Self-Employed,Business,3,Low,1
384,61,9830,10161,48,710,Self-Employed,Business,0,Low,1
385,64,4997,5964,12,617,Employed,Car,3,High,1
386,31,2686,20942,36,736,Self-Employed,Home,0,High,0
387,32,13606,43369,12,445,Self-Employed,Business,0,Low,1
388,38,7529,19184,60,526,Employed,Business,4,High,0
389,50,3759,7947,60,681,Unemployed,Business,2,Low,1
390,64,9023,48275,24,479,Employed,Business,4,Low,0
391,57,8208,49857,36,835,Employed,Home,2,Low,1
392,40,9234,11238,24,398,Self-Employed,Home,0,Low,1
393,45,4480,18156,12,690,Unemployed,Home,4,High,1
394,32,11529,7411,24,569,Employed,Education,1,High,1
395,41,9476,20674,12,393,Unemployed,Home,3,High,0
396,45,9770,13308,24,762,Employed,Home,3,Low,1
397,31,2114,48171,60,584,Self-Employed,Car,3,Low,0
398,29,14149,7924,36,321,Employed,Business,2,High,0
399,45,2568,40605,24,301,Employed,Business,3,Low,1
400,55,11745,5576,12,402,Employed,Car,2,Low,1
401,52,9951,19641,36,335,Unemployed,Home,2,Low,0
402,34,4689,13963,60,573,Unemployed,Business,2,Low,0
403,21,6590,29291,60,350,Self-Employed,Education,1,High,1
404,37,5340,46159,48,442,Unemployed,Education,0,Low,1
405,45,4988,37728,36,782,Unemployed,Car,1,Low,0
406,28,5151,46139,24,316,Unemployed,Education,0,Low,0
407,25,13719,23789,60,577,Self-Employed,Car,1,High,1
408,25,5015,44651,24,737,Self-Employed,Education,2,Low,0
409,61,11013,32899,24,735,Self-Employed,Education,0,High,1
410,55,8345,20658,12,683,Self-Employed,Education,3,Low,0
411,39,5574,43907,24,431,Employed,Car,1,High,0
412,43,9838,19184,48,562,Self-Employed,Business,0,High,0
413,29,13979,36747,36,693,Self-Employed,Car,3,Low,1
414,50,3608,17965,36,507,Employed,Home,4,Low,0
415,36,2559,15493,12,525,Employed,Home,2,Low,1
416,53,8621,31178,48,764,Unemployed,Education,1,Low,1
417,22,14255,38887,48,657,Unemployed,Education,1,Low,0
418,34,9126,7214,36,443,Self-Employed,Business,4,Low,0
419,21,7565,13000,48,653,Unemployed,Business,0,High,0
420,46,6435,13065,60,550,Employed,Business,1,Low,0
421,45,7650,47871,24,675,Unemployed,Education,1,Low,0
422,36,10803,6085,24,544,Unemployed,Car,1,Low,0
423,35,12355,8532,36,317,Self-Employed,Education,1,High,0
424,46,3881,22622,36,784,Employed,Home,4,High,0
425,64,6169,9834,48,301,Employed,Education,2,High,1
426,36,5863,25197,12,675,Unemployed,Business,1,High,0
427,34,9436,17008,36,465,Unemployed,Home,4,Low,0
428,49,5708,17962,36,628,Unemployed,Education,3,Low,0
429,44,3709,13012,36,747,Self-Employed,Business,1,Low,0
430,35,9860,25166,48,391,Unemployed,Education,0,High,1
431,39,11953,23628,60,819,Unemployed,Education,4,Low,0
432,28,3692,14849,36,551,Self-Employed,Business,0,Low,1
433,54,11437,46372,60,338,Employed,Home,2,High,1
434,22,2125,18767,48,735,Self-Employed,Home,3,Low,1
435,47,14944,20111,12,661,Unemployed,Car,0,Low,1
436,30,3199,44989,24,382,Unemployed,Home,1,High,1
437,55,8092,45582,24,326,Employed,Education,4,High,1
438,43,4711,49370,24,320,Self-Employed,Business,3,Low,1
439,28,13638,38891,24,517,Unemployed,Home,4,High,0
440,48,11182,26565,48,344,Employed,Education,3,High,1
441,43,13257,40011,24,706,Unemployed,Education,0,High,0
442,24,11713,7589,48,778,Employed,Home,2,Low,0
443,34,8228,47738,12,636,Unemployed,Business,4,Low,1
444,62,7995,49482,36,447,Unemployed,Business,1,Low,0
445,49,10182,14749,36,710,Employed,Car,4,Low,1
446,21,7502,27683,36,813,Employed,Business,2,Low,1
447,24,14920,9501,48,684,Unemployed,Business,0,Low,1
448,52,7760,28423,48,781,Employed,Home,1,High,0
449,53,7582,24157,48,400,Unemployed,Home,1,Low,0
450,46,4498,24169,12,413,Unemployed,Education,0,High,0
451,37,4565,28324,60,561,Self-Employed,Home,4,Low,1
452,59,8989,6706,48,721,Unemployed,Car,1,Low,1
453,43,6790,33219,48,353,Unemployed,Education,4,High,1
454,52,12789,46334,36,487,Employed,Business,4,Low,1
455,35,7024,6612,24,838,Self-Employed,Home,0,High,1
456,33,10307,21838,24,489,Employed,Car,2,Low,1
457,22,3031,42065,12,846,Employed,Education,2,Low,1
458,39,3241,35427,24,357,Unemployed,Car,4,Low,1
459,44,3742,20546,60,802,Unemployed,Car,0,Low,0
460,44,7709,14045,36,488,Unemployed,Business,2,High,1
461,31,7999,30299,12,847,Employed,Education,4,Low,1
462,42,13830,6391,24,612,Employed,Home,1,Low,1
463,35,14591,48347,24,468,Unemployed,Business,1,Low,0
464,30,6090,46221,36,430,Employed,Car,3,Low,1
465,61,12167,45776,12,451,Self-Employed,Education,3,High,0
466,47,10160,37667,36,404,Self-Employed,Business,3,Low,1
467,29,8883,20948,12,666,Self-Employed,Home,2,Low,1
468,48,14375,30118,24,391,Employed,Car,1,Low,1
469,21,7129,43193,36,731,Self-Employed,Education,1,High,0
470,37,6403,19157,36,604,Unemployed,Business,2,Low,1
471,51,8577,22021,60,327,Unemployed,Business,1,Low,0
472,64,6897,13356,36,587,Unemployed,Car,1,High,0
473,30,2163,40573,12,654,Self-Employed,Business,4,High,1
474,57,5310,6223,60,843,Self-Employed,Home,1,High,1
